"title","artist","album","year","duration"
"Corner Bodega (Coke Spot Skit)","50 Cent","Power Of The Dollar",2000,""
"G-Unit Skit","50 Cent","No Mercy, No Fear",0,"0:43"
"Skit","5150 Mentally Insane","Damaging Words",2001,""
"Skit","55","Git' Ya' Sum",2002,""
"Jail Skit","55","Git' Ya' Sum",2002,""
"Intro Skit","55","Git' Ya' Sum",2002,""
"Hood Report (Skit)","5ive Ft. Giant","No More Rain",2004,""
"Update (Skit)","5ive Ft. Giant","No More Rain",2004,""
"Reality (Skit) (Instrumental)","5th Element (11)","Illin Spree Instrumentals",2012,"0:50"
"Skit","5th Ward Boyz","Greatest Hits - Screwed & Chopped",2004,""
"Skit","5th Ward Juvenilez","Deadly Groundz (Chopped & Screwed)",2006,""
"Sess Skit","5th Ward Weebie","Da Unexpected",2003,"2:22"
"At the House Coolin (Skit)","5th Ward Weebie","Take It To The Hole",2001,"1:10"
"Da Hot Spot (Skit)","5th Ward Weebie","Take It To The Hole",2001,"1:06"
"Skit","601 Playaz","ON 20 INCH DUBBS",2001,""
"skit","601 Playaz","ON 20 INCH DUBBS",2001,""
"(Bensonhurst Skit)","67 Mob","Raising The Bar",2009,"0:27"
"(Archie Bunker Meets Sammy Davis Jr. Skit)","67 Mob","Raising The Bar",2009,"0:16"
"I Need You Skit","69 Boyz","The Wait Is Over",1998,"0:06"
"Skit 2","7th Veil","Stoned",2008,""
"Skit 1","7th Veil","Stoned",2008,""
"Records Sto (Skit)","7th Ward Soulja","Ghetto Terminology",2003,""
"Skit #1","8-Off","Wrap Your Lips Around This",1995,""
"Skit","812 Souljaz","Four Corner Hustler",2001,""
"The Return Of Lazarus (Skit)","8bzaG","Better 8 Than Never",2008,""
"Friday Night (Skit)","95 South","Tightwork 3000",2000,""
"Everything Fré (Skit)","95 South","Tightwork 3000",2000,""
"Skit","9th Prince","Granddaddy Flow",2010,""
"Fan Voice Mail (Skit)","9th Prince","Prince Of New York [Deluxe Edition]",2008,"0:38"
"Skit","9th Scientist","Illatron Magnetic",2007,""
"Intro (Oh Boy Us To Them) Skit","9th Scientist","Tru Kingz Of Boom",2010,""
"Hueys Unit (Skit)","9th Scientist","Tru Kingz Of Boom",2010,""
"Illatron Skit","9th Scientist","Illatron Magnetic",2007,""
"Mase Skit","A Tribe Called Quest","The Love Movement Sampler",1998,""
"DMX Skit","A Tribe Called Quest","The Love Movement Sampler",1998,""
"Lyor Cohen Skit","A Tribe Called Quest","The Love Movement Sampler",1998,""
"Skit : The Sh-t","A-3","Flowcaine 2",2004,""
"Skit : R.I.P.","A-3","Flowcaine 2",2004,""
"Skit : World Premiere","A-3","Flowcaine 2",2004,""
"Skit","A-3","Flowcaine",2004,""
"Lift Click (Skit)","A-G-2-A-KE","Ball $treet",2001,""
"Rahshemee Corner (Skit)","A-G-2-A-KE","Ball $treet",2001,""
"Trigganometry (Skit)","A-Wax","65 G'z In A Jordan Briefcase",2002,""
"Skit (Mark D)","A-Wax","Savage Timez",2001,"0:36"
"SOS Skit","A.B.N.","It Is What It Is",2008,""
"For Tha Bootleggers (Skit)","A.B.N.","""Assholes By Nature"" ""The Soundtrack""",2009,"0:24"
"Get That (Skit)","A.B.N.","""Assholes By Nature"" ""The Soundtrack""",2009,"0:18"
"Whoa Skit","A.B.N.","It Is What It Is",2008,""
"For The Bootleggers (Skit)","A.B.N.","""Assholes By Nature"" ""The Soundtrack""",2009,""
"Ain't Shit Changed (Skit)","A.B.N.","""Assholes By Nature"" ""The Soundtrack""",2009,"0:03"
"Phone Call Skit","A.I.G.","Fame Labs Presents: A.I.G. (Darkim Be Allah & AllahWise)",2005,"0:27"
"The Call (Skit)","A.K.A.","The Array",2012,"1:05"
"Booty Talk (Skit)","A.K.A.","The Array",2012,"0:35"
"Call From Management (Skit)","A.K.A.","The Array",2012,"0:25"
"Skit","A.M.P. (8)","Pushin Pens",2002,""
"Club Indo Skit","A.P. Prehended","Criminal Activity",2000,""
"Fugitive Skit","A.P. Prehended","Criminal Activity",2000,""
"Senators & Presidents Skit","Aarophat","Aarodynamix",2007,"0:44"
"Table Dance (Skit)","Above The Law","Time Will Reveal",1996,"1:37"
"Hot Music (Skit)","Abstract Mindstate","We Paid Let Us In!",2001,"0:30"
"Lil' D (Skit)","Abstract Nature","A.N.",0,"0:56"
"1 800 Iced Out (Skit)","Abstract Nature","A.N.",0,"1:25"
"A Predictament (Skit)","Abstract Tribe Unique","Showtyme",2003,"1:47"
"Showtyme Iz Now (Skit)","Abstract Tribe Unique","Showtyme",2003,"2:04"
"The Score (skit)","Abstraq","Grindology 101",2000,""
"Nasty (skit)","Abstraq","Grindology 101",2000,""
"Halfway Skit","ACD","American Dream",2006,""
"Churp Skit","ACD","No Witnesses",2006,"1:15"
"Big Tiny Skit","Ace Boogie","Bank Teller Bezzal",2009,""
"Trap Bitch Skit","Ace Boogie","Bank Teller Bezzal",2009,""
"Skit","AD (20)","Welcome To Comtonfornia",2013,""
"Skit","Adam F","Drum And Bass Warfare",2003,"0:17"
"Cutz 'n' Skitz","Adam F","Drum And Bass Warfare",2003,"1:18"
"Club Owner Skit","Afroman","Frobama",2008,"1:37"
"No No Fro Skit","Afroman","Frobama",2008,"1:26"
"Negativity News Skit","Afroman","Frobama",2008,"1:19"
"Pobitch (Skit)","Afroman","Waiting To Inhale",2008,"3:15"
"Late Show Skit","Afroman","Frobama",2008,"0:52"
"Mr. Wisdom Skit","Afroman","Frobama",2008,"0:57"
"Pimp Church Skit","Afroman","Frobama",2008,"0:45"
"Power Skit #3","Afu-Ra","State Of The Arts",2005,""
"Ghetto City Streets (Skit)","Afu-Ra","Life Force Radio",2002,"1:22"
"Power Skit #1","Afu-Ra","State Of The Arts",2005,""
"Visions (Skit)","Afu-Ra","Body Of The Life Force",2000,"0:34"
"Headqcuarterz (Skit)","Afu-Ra","Body Of The Life Force",2000,"0:27"
"Power Skit #2","Afu-Ra","State Of The Arts",2005,""
"Asshole (Skit)","AG","The Dirty Version",1999,""
"Club (Skit)","AG","The Dirty Version",1999,""
"Mucho Susio (Skit)","AG","The Dirty Version",1999,""
"America Held Hostage (Skit)","AG","The Dirty Version",1999,""
"Hold It Down (Skit)","AG","The Dirty Version",1999,""
"Diamond Burgos (Skit)","AG","The Dirty Version",1999,""
"300 Skit 1","Agallah","F.A.M.E.",2008,""
"300 Skit 2","Agallah","F.A.M.E.",2008,""
"Cocaine Cowboy Skit","Agallah","F.A.M.E.",2008,""
"Respect N Honor Skit","Agallah","F.A.M.E.",2008,""
"Tru Life Boy Skit","Agallah","F.A.M.E.",2008,""
"Skit","Aguny Ase","Consumption",2000,"0:41"
"Skit","Aka Coyote","Turn It Up",2006,""
"Skit","AKO Mack","Akmonic",2000,""
"Dreams (Skit)","Akword","The Akword Experience",2004,""
"Skit","Al Kapone","Whoop That Trick The Mix Tape",0,""
"F*ck Mr. Sche [Skit]","Al Kapone","Showdown",2004,""
"Scene From SupaFly [Skit]","Al Kapone","Showdown",2004,""
"Listen To Some Pimpin' (Skit)","Al Kapone","Goin' All Out",2003,"0:58"
"Scene From SupaFly 2 [Skit]","Al Kapone","Showdown",2004,""
"Tooted Up! [Skit]","Al Kapone","Showdown",2004,""
"M.C. Bump & Me Mane [Skit]","Al Kapone","Showdown",2004,""
"Senator Yo Ni**a (Skit)","Al Kapone","Pure Ghetto Anger",2008,"1:20"
"In Traffic (Skit)","Al Kapone","Goin' All Out",2003,"0:28"
"Way Back [Skit]","Al Kapone","Showdown",2004,""
"Phone Call [Skit]","Al Kapone","Showdown",2004,""
"Thunder (Skit)","Al Kapone","Goin' All Out",2003,"0:38"
"Incarceration (Skit)","Al Koleone","Gangsta Poetry",2006,""
"Tyson Beakford (Skit)","Al Nuke","My World",1999,""
"Willie Max (Skit)","Al Nuke","My World",1999,""
"Art (Skit)","Al Nuke","My World",1999,""
"With Hatin Come's Danger (Skit)","Al Nuke","My World",1999,""
"Jail Connects (Skit)","Al Nuke","My World",1999,""
"Co-Co (Skit)","Al Nuke","My World",1999,""
"The Money (Skit)","Al Nuke","My World",1999,""
"Bush (Skit)","Al Nuke","My World",1999,""
"Bye Bitch (Skit)","Al-Shid","Fly Rap Money Volume 1",2006,"0:50"
"Yesterday (Skit)","Al-Shid","Fly Rap Money Volume 1",2006,"1:49"
"For The Sake Of Music (Skit)","Al-Shid","Fly Rap Money Volume 1",2006,"1:52"
"Goin To The Club (Skit)","Aleister X","Black Skull Music Mixtape Vol. I",2011,"0:43"
"Off To The Corner Shop (Skit)","Aleister X","Black Skull Music Mixtape Vol. I",2011,"1:01"
"Black Crystal Mountain Tops Treck (Skit)","Aleister X","Black Skull Music Mixtape Vol. I",2011,"0:44"
"At The Flat (Skit)","Aleister X","Black Skull Music Mixtape Vol. I",2011,"0:44"
"The Special (Skit)","Aleister X","Black Skull Music Mixtape Vol. I",2011,"0:18"
"Uncle Sam Skit","All City","Metropolis Gold - Advance Album Sampler",1998,""
"Who Dat (Skit)","All City","Metropolis Gold",1998,"1:16"
"Collect Call (skit)","All Night Flightaz","Dat Drama",2004,""
"Collect Call pt.2 (skit)","All Night Flightaz","Dat Drama",2004,""
"The Limo Skit","All Purpose","Pound Fa Pound",2004,""
"4th Round Knockout SKit","All Purpose","Pound Fa Pound",2004,""
"The Pick Up Skit","All Purpose","Pound Fa Pound",2004,""
"... On Da Radio (Skit)","Allah Mathematics","Love Hell Or Right (Da Come Up)",2003,"2:00"
"Violent Skit","Allah Mathematics","Wutang Returns - Da Official Mix CD",2007,"0:40"
"Return Of Da Cobra (Skit)","Allah Mathematics","Love Hell Or Right (Da Come Up)",2003,"0:56"
"Message To A Blackman (Skit)","Allah Mathematics","Love Hell Or Right (Da Come Up)",2003,"0:50"
"Live In The Staircase (Skit)","Allah Mathematics","The Answer",2013,"1:29"
"Luv Skit","Allah Mathematics","Wu-Tang Clan & Friends: Unreleased",2007,""
"Da Heist (Skit)","Allah Mathematics","Love Hell Or Right (Da Come Up)",2003,"1:16"
"Message From A Blackman (Skit)","Allah Mathematics","Love Hell Or Right (Da Come Up)",2003,"0:34"
"Pop Shit Skit","Allah Mathematics","Wu-Tang Clan & Friends: Unreleased",2007,""
"12 Barz Skit","AllFrumTha i","Larger Than Life",2005,"0:37"
"Twerk Dem Titties Skit","Allied Forces (5)","#Kill The World",2015,""
"Smoking Reefers Skit","Allied Forces (5)","#Kill The World",2015,""
"First A Joke Skit","Allied Forces (5)","#Kill The World",2015,""
"Love Skit","Already Riders","Playaz Over Plexus",2000,"0:21"
"Interrogation (Skit)","Alzymerz","Methods Of Madness",2012,"4:10"
"Christopher Walken Speaks (Skit)","Amadeus The Stampede","House Of Broken Mirrors",2009,"0:58"
"Skit","Ambedext","Unusually Skillful",2004,"0:42"
"Skit - Fast Life","Ananize","What Would You Do?",2001,""
"Seventh Planet Skit","Ancient Astronauts","We Are To Answer",2009,"0:52"
"On My Own Skit","Andrés","II",2009,"1:45"
"Lifestyles Of The Big And Famous (Skit) (Album Version)","Angie Martinez","Animal House (Dirty LP)",2002,"1:07"
"Been Around The World (Skit)","Angie Martinez","Animal House",2002,"1:22"
"TRL (Skit)","Angie Martinez","Animal House",2002,"0:26"
"Been Around The World (Skit) (Edited Version)","Angie Martinez","Animal House (Clean & Dirty LP)",2002,"1:22"
"TRL (Skit) (Album Version)","Angie Martinez","Animal House (Dirty LP)",2002,"0:26"
"Been Around The World (Skit) (Album Version)","Angie Martinez","Animal House (Dirty LP)",2002,"1:22"
"Lifestyles Of The Big And Famous (Skit) (Edited Version)","Angie Martinez","Animal House (Clean & Dirty LP)",2002,"1:07"
"TRL (Skit) (Edited Version)","Angie Martinez","Animal House (Clean & Dirty LP)",2002,"0:26"
"Lifestyles Of The Big And Famous (Skit)","Angie Martinez","Animal House",2002,"1:07"
"Police Skit","Animosity (11)","Street Talk",2001,""
"I Got It All (Skit)","Anonamix","Illusionations",2010,"2:09"
"The Greatest Plant Skit","Anonamix","The Anonymous Mix Volume 2 - Sea Of Green",2013,"1:10"
"Mere Mortals (Skit)","Anonamix","The Others",2011,"1:07"
"This Is Crack (Skit)","Anonamix","Pesticide",2013,"0:44"
"66 (Skit)","Anonamix","Clouds Of Fire",2010,"1:06"
"The War On Drugs Skit","Anonamix","The Anonymous Mix Volume 2 - Sea Of Green",2013,"2:01"
"The Joker Speaks (Skit)","Anthai The Protagonist","Beats Behind Bars",2014,"1:36"
"Build & Destroy (skit)","Anthai The Protagonist","Beats Behind Bars",2014,"1:46"
"Anthai Skit","Anthai The Protagonist","The Revival",2005,""
"Skit","Anutha Relm Of Gangstaz","Lyrical Ammo",2003,"1:05"
"Watch Out - Skit","Anybody Killa","Detroit Warriors Strike 1 Mix",2006,""
"Phone Hoe - Skit","Anybody Killa","Detroit Warriors Strike 1 Mix",2006,""
"Beef Jerky - Skit","Anybody Killa","Detroit Warriors Strike 1 Mix",2006,""
"Big B Feet Sauce - Skit","Anybody Killa","Detroit Warriors Strike 1 Mix",2006,""
"Murder - Skit","Anybody Killa","Detroit Warriors Strike 1 Mix",2006,""
"Phone Check #1 (Skit)","AP9","Without My 5: Free AP.9 & Husalah",2007,"2:28"
"Giggin' (Skit)","AP9","Without My 5: Free AP.9 & Husalah",2007,"0:37"
"Where I Come From (Skit)","AP9","Without My 5: Free AP.9 & Husalah",2007,"0:29"
"Phone Check #2 (Skit)","AP9","Without My 5: Free AP.9 & Husalah",2007,"2:36"
"Know Ya Shit Skit","Apakalypse","Supreme Intoxication",2005,"0:18"
"Wizardry Skit","Apakalypse","Supreme Intoxication",2005,"0:27"
"Anybody Can Rap (Skit)","Aqualeo","The Blue Flame ",2003,"1:49"
"Blow My Mic (Skit)","Aqualeo","The Blue Flame ",2003,"0:58"
"Skit","Archie Lee","8100%",2001,"1:50"
"Gangs (Skit)","Archie Lee (2)","Refuse 2 Looze - Original Trackz & Underground Flowz",2005,"0:41"
"Chapelle Drugs (Skit)","Archie Lee (2)","Refuse 2 Looze - Original Trackz & Underground Flowz",2005,"1:08"
"VCPR Public Radio (Skit)","Archie Lee (2)","Refuse 2 Looze - Original Trackz & Underground Flowz",2005,"0:36"
"The Blunt Fan Club (Skit)","Archie Lee (2)","Refuse 2 Looze - Original Trackz & Underground Flowz",2005,"0:41"
"Synthesizers (Skit)","Archie Lee (2)","Refuse 2 Looze - Original Trackz & Underground Flowz",2005,"0:39"
"Roy D. Mercer (Skit)","Archie Lee (2)","Refuse 2 Looze - Original Trackz & Underground Flowz",2005,"4:08"
"Dedication (Skit)","Archie Lee (2)","Refuse 2 Looze - Original Trackz & Underground Flowz",2005,"0:39"
"5 O'Clock Free Crack Giveaway (Skit)","Archie Lee (2)","Refuse 2 Looze - Original Trackz & Underground Flowz",2005,"1:12"
"Los Tres Amigos (Skit)","Area 51 (24)","Independent's Day",2008,""
"Sunz Of Man (Skit)","Armel","Armel Presents Ancient Coins",2003,""
"Buck 3000 (Skit)","Ashanti","Concrete Rose",2004,""
"Message To The Fans (Skit)","Ashanti","Concrete Rose",2004,""
"Shi Shi (Skit)","Ashanti","Ashanti",2002,"0:14"
"Shany Shia (Skit)","Ashanti","Chapter II",2003,"1:11"
"The Sugar Shack (Skit)","Ashanti","Chapter II",2003,"1:10"
"What Are They Gonna Say Now (Skit)","Ashanti","Chapter II",2003,"0:31"
"Narrative (Call Skit)","Ashanti","Ashanti",2002,"0:36"
"Black Child (Skit)","Ashanti","Chapter II",2003,"1:28"
"Sister Stories (Skit)","Ashanti","Concrete Rose",2004,""
"Fight (Over Skit)","Ashanti","Ashanti",2002,"1:18"
"Only U (Radio Edit W/O Skit)","Ashanti","Only U",2004,""
"The ASN (Skit)","ASN","Made For This",2008,""
"Intro/ The A&R Skit","ASN","Made For This",2008,""
"The Song Is Good (Skit)","Asop","Black Libra",2001,""
"Black Wolf Bar Skit","Asop","Living The Dream While Awake",2009,""
"Secret Service (Skit)","Asop","Black Libra",2001,""
"That's The Weed Man!!! (Skit)","Asop","Living The Dream While Awake",2009,""
"Final Destination (Skit)","Asop","Black Libra",2001,""
"The Truth (Skit)","Asop","Black Libra",2001,""
"Waking Dream (Skit)","Asop","Living The Dream While Awake",2009,""
"Mean Mack (Skit)","Assassin (3)","Armed -N- Dangerouz",1998,"0:38"
"The Set-Up (Skit)","Assassin (3)","Armed -N- Dangerouz",1998,"0:24"
"K187 FM (Skit)","Assassin (3)","Armed -N- Dangerouz",1998,"0:27"
"East West Division (Skit)","Assassin (3)","Armed -N- Dangerouz",1998,"0:31"
"Collect Call (Skit)","Assassin (3)","Armed -N- Dangerouz",1998,"0:20"
"Zack Attack Skit","Assorted Anonymous","manikin(s)",2013,""
"Blob's Sports Bar (Skit)","Assorted Anonymous","manikin(s)",2013,""
"Zan Zilla (Skit)","Aston Matthews","Aston 3:16",2014,"1:56"
"Who's Coming With Me? Skit","Astray","Who's Coming With Me",2005,""
"Skit","Attic Crew","Finally...",2002,"0:34"
"AA Infomercial-Skit","Audible Audities","Last Call Poets",2007,""
"Product Endorsement 2 [Skit]","August Alsina","The Product",2012,"0:28"
"Product Endorsement 1 [Skit]","August Alsina","The Product",2012,"0:29"
"Cool Or Fool (Skit)","Autolect","The Man That Fell To Earth",2007,"3:09"
"The Meeting (Skit)","Autolect","Every Mans Universe",2005,"2:05"
"Till The Finish (Skit)","Autolect","Every Mans Universe",2005,"2:34"
"Due (Skit)","Autolect","Every Mans Universe",2005,"0:33"
"Theatre Of The Macabre (Skit)","Autopzy","Violent Psychology",2009,""
"Cuh Blood (Skit)","AV LMKR","Compton",2014,"0:27"
"R U Still Down (Skit)","AV LMKR","Compton",2014,"0:36"
"Betrayal (Skit)","AV LMKR","Compton",2014,"1:33"
"Like This (Skit)","Axe Murder Boyz","The Unforgiven Forest",2004,""
"Animal Skit - You Ain't From Brooklyn","AZ","S.O.S.A. (Save Our Streets AZ)",2000,""
"Azealia Skit","Azealia Banks","Fantasea",0,"1:03"
"Skit","B-1 (2)","Off The Hook Part 2 - Underground Famous",2004,"0:46"
"Skit 1","B-12 (5)","In My Own Words",2002,""
"Fake Cat (Skit)","B-Def","Prince Of The City",1999,"1:41"
"Detroit Sh** (Skit)","B-Def","Prince Of The City",1999,"4:05"
"Skit","B-Dub (2)","Ruff & Rugged",2009,"0:59"
"Busted Skit","B-Locks","Black Rose : The Evils Of Men",2004,""
"Skit","B-Real","The Gunslinger Volume 1",2005,"0:48"
"Comedy Central (Skit)","B-Rhymez","In A Class Of My Own",2013,"3:10"
"Hot Ta Def (Skit)","B.B. Jay","Who Is",2000,"1:30"
"Skit 2","B.E.N.E.F.I.T.","Straight Out Da Trunk",2003,""
"Skit","B.E.N.E.F.I.T.","Straight Out Da Trunk",2003,""
"(Skit) Give Thanks","B.F.G.’s","Da Game",2002,"1:35"
"(Skit) The Makin’","B.F.G.’s","Da Game",2002,"1:40"
"The Club Scene (Skit)","B.G.","Livin' Legend",2003,""
"Skit","B.G.","Champion",2008,""
"Streetnik (Skit)","B.N.O.C.","Vendetta",2000,""
"Skit","B.N.O.C.","Affiliated",1998,""
"Playboy Tre Skit","B.o.B","Fuck Em We Ball",2012,""
"Rock & Roll (Skit)","B.U.C. W.I.L.D.","It's About Time",2000,""
"Who Is That Rappin (Skit)","Baby Bash","Do It Movin U Beezy!",0,""
"Butta Head (Skit)","Baby Bash","Do It Movin U Beezy!",0,""
"Skit 1","Baby Boy Da Prince","Across The Water",2006,""
"Skit 2","Baby Boy Da Prince","Across The Water",2006,""
"Skit 3","Baby Boy Da Prince","Across The Water",2006,""
"It Burns (Skit)","Baby Drew","Street Music Vol. 1",2005,""
"Skit","Baby Drew","Street Music Vol. 1",2005,""
"Skit Feat. Reggie ""Smooth As Butter"" Brown","Baby Drew","Street Music Vol. 1",2005,""
"Take Me To Brazil (Skit)","Baby Elephant (2)","Turn My Teeth Up!",2007,"0:40"
"Plug (Skit)","Baby Elephant (2)","Turn My Teeth Up!",2007,"0:25"
"Master (Skit)","Baby Elephant (2)","Turn My Teeth Up!",2007,"0:29"
"The Search (Skit)","Baby Elephant (2)","Turn My Teeth Up!",2007,"0:42"
"100 Keyboards (Skit)","Baby Elephant (2)","Turn My Teeth Up!",2007,"0:08"
"Language (Skit)","Baby Elephant (2)","Turn My Teeth Up!",2007,"0:10"
"Ghetto / Skit","Bad Azz","Money Run",2003,""
"If It's Hot / Skit","Bad Azz","Money Run",2003,""
"WBLO (Skit)","Bad Azz","Personal Business",2001,""
"Come And Get It / Skit","Bad Azz","Money Run",2003,""
"Skit","Bad Boy (7)","Street Credibility - The Features",2005,""
"Wonderscam (Skit)","Badluck (2)","I Alone",2009,"1:58"
"Lil Afro (Skit)","Bailey (2)","Champ Bailey",2006,"1:01"
"Mic Check (Skit)","Bailey (2)","Champ Bailey",2006,"0:51"
"Devil's Lamb (Skit)","Bake Lo","Misunderstood Mindstate",2012,"0:21"
"Nobody (Skit)","Bake Lo","Misunderstood Mindstate",2012,"1:45"
"Skit - Reppin' For Texas","Bald Head (2)","The Movement",2009,""
"Skit - Peepin' Game","Bald Head (2)","The Movement",2009,""
"Skit - News Flash","Bald Head (2)","The Movement",2009,""
"Skit - N Da Hood","Bald Head (2)","The Movement",2009,""
"Blinger Baller Skit","Bankroll Fresh","Life Of A Hot Boy",2014,""
"Skit","Bart (3)","Sports",2005,""
"Chaos (Skit)","Bassmint Productions","Bassmint Productions",0,""
"Skit","Bavgate","The Last Banger",2001,""
"Turf (Skit)","Be Gee","The Postcard",2004,""
"News Skit","Beanie Sigel","Public Enemy #1",0,""
"New Kid (Skit)","Beast 1333","Space Age Slaves",2012,"1:39"
"Found (Skit)","Beast 1333","Mark Of The Beast",2009,"0:29"
"Prophecy Skit","Beast 1333","Birth Of The Beast",2009,"1:12"
"From The Sky (Skit)","Beast 1333","Space Age Slaves",2012,"1:18"
"Birth Of The Beast Skit","Beast 1333","Birth Of The Beast",2009,"1:12"
"Scare Skit","Beast 1333","Birth Of The Beast",2009,"0:44"
"Chosen Skit","Beast 1333","Birth Of The Beast",2009,"1:12"
"Supreme Leader (Skit)","Beast 1333","Space Age Slaves",2012,"1:12"
"Sorry The Album Took So Long Skit","Beastie Boys","Pass The Mic",1992,""
"Yesterday I Went To McDonald's Skit","Beastie Boys","Pass The Mic",1992,""
